"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
303422,"CN-11",11,"Beijing Municipality","AS","CN","http://en.wikipedia.org/wiki/Beijing",
303423,"CN-12",12,"Tianjin Municipality","AS","CN","http://en.wikipedia.org/wiki/Tianjin",
303424,"CN-13",13,"Hebei Province","AS","CN","http://en.wikipedia.org/wiki/Hebei",
303425,"CN-14",14,"Shanxi Province","AS","CN","http://en.wikipedia.org/wiki/Shanxi",
303426,"CN-15",15,"Inner Mongolia Autonomous Region","AS","CN","http://en.wikipedia.org/wiki/Inner_Mongolia",
303427,"CN-21",21,"Liaoning Province","AS","CN","http://en.wikipedia.org/wiki/Liaoning",
303428,"CN-22",22,"Jilin Province","AS","CN","http://en.wikipedia.org/wiki/Jilin",
303429,"CN-23",23,"Heilongjiang Province","AS","CN","http://en.wikipedia.org/wiki/Heilongjiang",
303430,"CN-31",31,"Shanghai Municipality","AS","CN","http://en.wikipedia.org/wiki/Shanghai",
303431,"CN-32",32,"Jiangsu Province","AS","CN","http://en.wikipedia.org/wiki/Jiangsu",
303432,"CN-33",33,"Zhejiang Province","AS","CN","http://en.wikipedia.org/wiki/Zhejiang",
303433,"CN-34",34,"Anhui Province","AS","CN","http://en.wikipedia.org/wiki/Anhui",
303434,"CN-35",35,"Fujian Province","AS","CN","http://en.wikipedia.org/wiki/Fujian",
303435,"CN-36",36,"Jiangxi Province","AS","CN","http://en.wikipedia.org/wiki/Jiangxi",
303436,"CN-37",37,"Shandong Province","AS","CN","http://en.wikipedia.org/wiki/Shandong",
303437,"CN-41",41,"Henan Province","AS","CN","http://en.wikipedia.org/wiki/Henan",
303438,"CN-42",42,"Hubei Province","AS","CN","http://en.wikipedia.org/wiki/Hubei",
303439,"CN-43",43,"Hunan Province","AS","CN","http://en.wikipedia.org/wiki/Hunan",
303440,"CN-44",44,"Guangdong Province","AS","CN","http://en.wikipedia.org/wiki/Guangdong","Canton Province, Kwangtung Province"
303441,"CN-45",45,"Guangxi Autonomous Region","AS","CN","http://en.wikipedia.org/wiki/Guangxi",
303442,"CN-46",46,"Hainan Province","AS","CN","http://en.wikipedia.org/wiki/Hainan",
303443,"CN-50",50,"Chongqing Municipality","AS","CN","http://en.wikipedia.org/wiki/Chongqing",
303444,"CN-51",51,"Sichuan Province","AS","CN","http://en.wikipedia.org/wiki/Sichuan",
303445,"CN-52",52,"Guizhou Province","AS","CN","http://en.wikipedia.org/wiki/Guizhou",
303446,"CN-53",53,"Yunnan Province","AS","CN","http://en.wikipedia.org/wiki/Yunnan",
303447,"CN-54",54,"Tibet Autonomous Region","AS","CN","http://en.wikipedia.org/wiki/Tibet","Xizang"
303448,"CN-61",61,"Shaanxi Province","AS","CN","http://en.wikipedia.org/wiki/Shaanxi",
303449,"CN-62",62,"Gansu Province","AS","CN","http://en.wikipedia.org/wiki/Gansu",
303450,"CN-63",63,"Qinghai Province","AS","CN","http://en.wikipedia.org/wiki/Qinghai",
303451,"CN-64",64,"Ningxia Autonomous Region","AS","CN","http://en.wikipedia.org/wiki/Ningxia",
303452,"CN-65",65,"Xinjiang Autonomous Region","AS","CN","http://en.wikipedia.org/wiki/Xinjiang",
303453,"CN-71",71,"Taiwan (disputed)","AS","CN","http://en.wikipedia.org/wiki/Taiwan",
303454,"CN-91",91,"Hong Kong Special Administrative Region","AS","CN","http://en.wikipedia.org/wiki/Hong_Kong",
303455,"CN-92",92,"Macau Special Administrative Region","AS","CN","http://en.wikipedia.org/wiki/Macau",
303456,"CN-U-A","U-A","(unassigned)","AS","CN",,
